uid,src,title,alt,lieu,lat,lng,categorie,visible
"mer-33","/images/portfolio/Mer/karim-saari-marseille-nageur-roches-rouges-anse.webp","Baigneur au cœur de l'émeraude — Calanque d'En-vau","Un nageur solitaire évoluant dans une piscine naturelle d'eau turquoise et cristalline, nichée au pied des falaises calcaires abruptes du littoral méditerranéen. Un paysage de nature sauvage invitant au voyage et à la contemplation — Calanques de Marseille — © Karim Saari","Calanques d'en-vau","43.202372","5.497996","mer","true"
"mer-35","/images/portfolio/Mer/karim-saari-marseille-aerien-calanque-nageur-turquoise.webp","Épure turquoise vue du ciel — Calanque d'En-vau","Photographie aérienne d'une nageuse isolée dans l'immensité turquoise d'une crique sauvage, bordée par les falaises calcaires blanches monumentales et les herbiers de Posidonie du littoral de Provence — Calanques de Marseille — © Karim Saari","Calanques d'en-vau","43.200921","5.501437","mer","true"
"mer-39","/images/portfolio/Mer/karim-saari-marseille-calanque-sauvage-pins-mediterraneens.webp","Écrin de pins sur l'eau — Calanque de Sugiton","Paysage littoral dévoilant une petite plage de galets et une eau turquoise translucide, surplombées par des falaises calcaires où s'accrochent des pins d'Alep sous un ciel bleu azur de Provence — Calanques de Marseille — © Karim Saari","Marseille, Calanques de Sugiton","43.211626","5.455296","mer","true"
"mer-4","/images/portfolio/Mer/photographe-sous-marin-marseille-mi-eau-mi-ciel-calanque-turquoise.webp","Entre deux mondes — Calanque de Sormiou","Photographie mi-air mi-eau (split-shot) révélant la clarté des fonds marins sablonneux et les reliefs calcaires du littoral marseillais surplombés par un cabanon traditionnel sous un ciel azur — Calanques de Marseille — © Karim Saari","Calanques de Sormiou","43.210525","5.420921","mer","true"
"mer-44","/images/portfolio/Mer/karim-saari-marseille-femme-rocher-calcaire-calanques.webp","L’envolée bleue — Calanques de Marseille","Une femme en robe bleue vaporeuse debout sur un rocher, les bras ouverts face à l'immensité des falaises calcaires striées du littoral provençal. Une image de voyage et de liberté au cœur de la nature sauvage — Calanques de Marseille — © Karim Saari","Marseille, calanque de sugiton","43.211131","5.456755","mer","true"
"mer-45","/images/portfolio/Mer/karim-saari-marseille-silhouette-flaque-plage-jetee.webp","Miroir sur l'estacade — Capbreton","Silhouette d'une voyageuse se reflétant dans une flaque d'eau sur le sable, aux côtés de la célèbre estacade en bois noir de Capbreton, sous un ciel de tempête percé par la lumière de l'Atlantique — Landes — © Karim Saari","Capbreton, landes","43.655127","-1.446047","horizons","true"
"mer-46","/images/portfolio/Mer/karim-saari-marseille-kayakistes-calanque-arbre-tordu.webp","Rameurs dans l'écrin d'En-vau — Calanques de Marseille","Deux sportifs sur un aviron de mer glissant sur l'eau turquoise au pied de falaises calcaires monumentales, cadrés par les branches tortueuses d'un pin d'Alep. Un paysage de randonnée et de nature sauvage emblématique de la Provence — Calanques de Marseille — © Karim Saari","Marseille, Calanques d'en-vau","43.202211","5.498384","mer","true"
"mer-47","/images/portfolio/Mer/karim-saari-marseille-aerien-vagues-littoral-mediterraneen.webp","Dentelle d'écume sur la roche — Biarritz","Vue aérienne zénithale de l'Océan Atlantique venant se briser sur des rochers sombres et du sable doré, créant une dentelle d'écume blanche. Une composition abstraite de la nature sauvage du littoral basque — Biarritz — © Karim Saari","Biarritz, Ilbarritz","43.463581","-1.576314","mer","true"
"mer-50","/images/portfolio/Mer/karim-saari-marseille-aerien-calanque-secrete-galets-emeraude.webp","Écrin turquoise vu du ciel — Calanque d'En-vau","Vue aérienne zénithale de la plage de galets blancs nichée au creux de hautes falaises calcaires, révélant une eau turquoise cristalline et des fonds marins préservés. Un paysage emblématique de nature sauvage en Provence — Calanques de Marseille — © Karim Saari","Marseille, Calanques d'en-vau","43.202117","5.498545","mer","true"
"mer-51","/images/portfolio/Mer/karim-saari-marseille-falaises-calcaires-calanque-coucher-soleil.webp","Éclat matinal sur les parois — Calanques de Marseille","Première lumière du jour frappant les falaises calcaires blanches qui plongent dans une eau turquoise et translucide, révélant la richesse des fonds marins et la pureté matinale du littoral méditerranéen — Calanques de Marseille — © Karim Saari","Marseille, Calanques d'en-vau","43.201504","5.499093","mer","true"
"mer-52","/images/portfolio/Mer/karim-saari-marseille-statue-vierge-falaise-mer-vue-dessus.webp","La Vierge du Rocher au crépuscule — Biarritz","Statue de la Vierge à l'Enfant dominant l'océan Atlantique sur le Rocher de la Vierge à Biarritz lors d'un coucher de soleil, vue panoramique du littoral basque et de la passerelle Eiffel — Pays basque — © Karim Saari","Biarritz, le rocher de la vierge","43.484229","-1.570361","horizons","true"
"mer-54","/images/portfolio/Mer/karim-saari-marseille-en-vau-aerien-calanque-falaises.webp","Écrin turquoise entre les falaises — Calanque d'En-Vau","Vue plongeante spectaculaire sur l'eau turquoise cristalline d'une calanque de Marseille enserrée par de hautes falaises calcaires blanches, avec des herbiers de posidonie visibles et un pin accroché à la roche — Parc National des Calanques — © Karim Saari","Marseille, Calanques d'en-vau","43.202372","5.497996","mer","true"
"mer-55","/images/portfolio/Mer/karim-saari-marseille-marquage-sol-pollution-sensibilisation.webp","La mer commence ici — Pollution urbaine","Marquage au sol ""Ne rien jeter ici — La mer commence ici"" sur asphalte rouge — sensibilisation à la pollution","Calanques de Marseille","43.291324","5.35578","mer","true"
"mer-56","/images/portfolio/Mer/karim-saari-marseille-vieux-port-arche-cadenas-notre-dame.webp","Marseille au cœur des cadenas — Vieux-Port","Perspective créative à travers une sculpture en forme de lettre M recouverte de cadenas d'amour, offrant une vue dégagée sur les mâts des voiliers et la basilique Notre-Dame de la Garde dominant le Vieux-Port de Marseille — Marseille — © Karim Saari","Marseille, Vieux Port","43.29596","5.369718","mer","true"
"mer-57","/images/portfolio/Mer/karim-saari-marseille-poulies-voilier-notre-dame-garde.webp","Poulies du Don du Vent — Vieux-Port de Marseille","Détail en gros plan des poulies en bois verni et du gréement traditionnel du voilier ""Le Don du Vent"", avec la silhouette floue de la basilique Notre-Dame de la Garde en arrière-plan. Une image symbolisant le patrimoine maritime et le voyage — Marseille — © Karim Saari","Marseille, Vieux Port","43.295773","5.370615","mer","true"
"mer-58","/images/portfolio/Mer/karim-saari-marseille-pirate-vieux-port.webp","Pirate du plastique en mission — Vieux-Port de Marseille","Un membre de l'association déguisé en pirate avec un masque tête de mort, symbolisant le lancement d'une campagne de dépollution marine engagée pour protéger la Méditerranée des déchets plastiques — Marseille — © Karim Saari","Marseille, Vieux Port","43.294816","5.370147","mer","true"
"mer-59","/images/portfolio/Mer/photographe-sous-marin-marseille-sculpture-musee-subaquatique.webp","Résilience sous-marine — Musée Subaquatique de Marseille","Sculpture immergée de Morgan Bourc'his par Thierry Trivès, colonisée par la vie marine sur les fonds marins de la plage des Catalans. Une œuvre engagée pour la protection de la Méditerranée et la résilience environnementale — Marseille — © Karim Saari","Marseille, Musée subaquatique","43.290292","5.353635","mer","true"
"mer-6","/images/portfolio/Mer/photographe-sous-marin-marseille-apnee-grotte-marine-calanques.webp","Exploration d'une grotte marine — Calanque de Sormiou","Vue subjective d'un apnéiste en combinaison, les mains tendues vers la lumière au cœur d'une grotte marine aux parois rocheuses impressionnantes, révélant les reflets bleu électrique d'une eau cristalline — Calanques de Marseille — © Karim Saari","Marseille, calanque de Sormiou","43.204311","5.426968","mer","true"
"mer-60","/images/portfolio/Mer/karim-saari-marseille-vallon-auffes-nuit-pont-reflets.webp","Nuit paisible sous le viaduc — Vallon des Auffes","Vue nocturne du port de pêche traditionnel à travers l'arche de pierre du viaduc, révélant les maisons colorées éclairées et les reflets des lumières sur l'eau calme où dorment les pointus — Marseille — © Karim Saari","Marseille, Vallon des auffes","43.285447","5.350492","mer","true"
"mer-61","/images/portfolio/Mer/photographe-sous-marin-marseille-pollution-plastique-fond-marin.webp","L'intrus de métal et l'étoile de mer — Marseille","Canette de Coca-Cola polluant les fonds marins de Méditerranée posée sur un rocher couvert d'algues à côté d'une étoile de mer rouge, sensibilisation à la dépollution marine et à la protection de l'écosystème du Parc National des Calanques — Marseille — © Karim Saari","Calanques de Marseille","43.287013","5.34748","mer","true"
"mer-62","/images/portfolio/Mer/karim-saari-marseille-pointu-voile-rouge-notre-dame.webp","Voile aurique devant la Bonne Mère — Association Boud’mer","Un bateau traditionnel de l'association Boud’mer, reconnaissable à sa grande voile aurique orangée, naviguant dans la rade de Marseille avec la basilique Notre-Dame de la Garde en arrière-plan. Une image célébrant la préservation du patrimoine maritime méditerranéen — Marseille — © Karim Saari","Marseille","43.287499","5.34371","mer","true"
"mer-63","/images/portfolio/Mer/karim-saari-marseille-bouee-bateau-notre-dame-garde.webp","L'Espadon face à la Bonne Mère — Rade de Marseille","Détail de la proue d'une barquette marseillaise bleue nommée Espadon avec sa bouée fer à cheval orange, naviguant sur le littoral avec la basilique Notre-Dame de la Garde en arrière-plan — Marseille — © Karim Saari","Marseille","43.277329","5.328903","mer","true"
"mer-64","/images/portfolio/Mer/karim-saari-marseille-pointu-kraken-calanques.webp","Rencontre des protecteurs de la mer — Archipel du Frioul","Navigation croisée entre le grand voilier Kraken de l'association Wings of the Ocean et une barquette traditionnelle de l'association Boud'mer lors d'une parade maritime pour la protection de la Méditerranée et du littoral marseillais — Marseille — © Karim Saari","Marseille","43.275399","5.324044","mer","true"
"mer-66","/images/portfolio/Mer/karim-saari-marseille-vague-mistral-tempete-mediterranee.webp","Le rugissement de l'eau — Digue de Marseille","Vague spectaculaire en forme de lion se brisant avec force sur une digue en béton sous un ciel bleu éclatant, capturant la puissance brute de la Méditerranée lors d'un coup de mer sur le littoral marseillais — Marseille — © Karim Saari","Marseille","43.259139","5.372671","mer","true"
"mer-67","/images/portfolio/Mer/karim-saari-marseille-veliplanchiste-calanques-fort.webp","L'Huveaune en colère — Plage de l'Escale Borély","Plan large montrant les eaux boueuses et polluées du fleuve Huveaune se déversant dans le bleu de la Méditerranée après un orage, avec un véliplanchiste en action devant les reliefs du massif des Calanques — Marseille — © Karim Saari","Marseille, embouchure de l'huveaune","43.258437","5.373204","mer","true"
"mer-68","/images/portfolio/Mer/karim-saari-marseille-coucher-soleil-voiliers-silhouettes.webp","Crépuscule sur l'archipel — Pointe Rouge","Silhouettes de voiliers au mouillage devant l'île de Maïre lors d'un coucher de soleil flamboyant aux teintes pourpres et orangées sur le littoral marseillais — Marseille — © Karim Saari","Marseille, pointe rouge","43.248094","5.367663","mer","true"
"mer-70","/images/portfolio/Mer/karim-saari-marseille-panoramique-calanques-notre-dame-garde.webp","Route sinueuse vers le bout du monde — Les Goudes","Route goudronnée serpentant le long du littoral rocheux des Goudes sous la lumière du matin. Photographie environnementale — © Karim Saari","Marseille","43.219874","5.345435","mer","true"
"mer-72","/images/portfolio/Mer/photographe-sous-marin-marseille-meduse-pelagie-faune-marine.webp","Méduse rose en suspension — Méditerranée","Méduse Pélagie (Pelagia noctiluca) rose en pleine eau turquoise — faune marine Méditerranée — © Karim Saari","Calanques de Marseille","","","mer","true"
"mer-73","/images/portfolio/Mer/karim-saari-marseille-goeland-bollard-port-turquoise.webp","Goéland sentinelle — Port de Marseille","Goéland leucophée posé sur un bollard de port devant l'eau turquoise — Marseille","Marseille, Calanques de Sormiou","43.210133","5.420149","mer","true"
"mer-74","/images/portfolio/Mer/karim-saari-marseille-barques-peche-calanque-falaises.webp","Barques sous les falaises — Calanques","Barques de pêche traditionnelles amarrées dans un port de calanque sous les falaises calcaires — Marseille","Marseille, Calanques de Sormiou","","","mer","true"
"mer-75","/images/portfolio/Mer/karim-saari-marseille-calanque-maisons-pecheurs-turquoise.webp","Écrin turquoise et vol de gabian — Calanque de Sormiou","Vue plongeante sur les eaux cristallines et turquoises de la calanque de Sormiou, avec un goéland en plein vol, des pins d'Alep et les cabanons typiques nichés au pied des falaises calcaires — Calanques de Marseille — © Karim Saari","Marseille, Calanques de Sormiou","43.211218","5.423061","mer","true"
"mer-76","/images/portfolio/Mer/karim-saari-marseille-dechets-plastiques-calanques-projet-sentinelle.webp","L'empreinte du plastique — Calanque de Sormiou","Amas de déchets plastiques, canettes et emballages de restauration rapide abandonnés sur les rochers calcaires surplombant la Méditerranée, illustrant la nécessité de dépollution et de protection de l'écologie marine — Calanques de Marseille — © Karim Saari","Marseille, Calanques de Sormiou","43.215867","5.426845","mer","true"
"mer-78","/images/portfolio/Mer/karim-saari-marseille-port-calanque-reflets-eau-cristalline.webp","Port de calanque en HDR — Marseille","Petit port de calanque avec bateaux amarrés se reflétant dans l'eau cristalline, falaises calcaires — HDR Marseille","Marseille, Calanques de Morgiou","","","mer","false"
"mer-79","/images/portfolio/Mer/karim-saari-marseille-pointu-reflet-calanque-hdr.webp","Le pointu et son reflet — Calanques","Proue d'un pointu marseillais se reflétant dans l'eau cristalline d'une calanque, cordages et fond marin — HDR","Marseille, Calanques de Morgiou","","","mer","true"
"mer-80","/images/portfolio/Mer/karim-saari-marseille-bateau-calanque-turquoise-falaises.webp","Barque et falaises — Calanques de Marseille","Petit bateau de pêche blanc naviguant dans les eaux turquoise d'une calanque encadrée de hautes falaises calcaires","Calanques de Marseille","","","mer","true"
"mer-81","/images/portfolio/Mer/karim-saari-marseille-aerien-nageur-calanque-rochers.webp","Nageur solitaire vu du ciel — Calanques","Vue aérienne plongeante sur un nageur solitaire dans les eaux turquoise d'une calanque entre rochers calcaires","Marseille, Calanques d'en-vau","43.202372","5.497996","mer","true"
"mer-82","/images/portfolio/Mer/photographe-sous-marin-marseille-etoile-mer-faune-marine.webp","Étoile de mer rouge — Méditerranée","Main tenant une étoile de mer rouge sous l'eau — faune marine Méditerranée — © Karim Saari","Marseille, Calanques d'en-vau","43.202372","5.497996","mer","true"
"mer-83","/images/portfolio/Mer/karim-saari-marseille-sormiou-calanque-mer-turquoise.webp","Sormiou azuréen — Calanques de Marseille","Mer turquoise azuréenne vue depuis la calanque de Sormiou — Marseille, Calanques de Marseille","Marseille, Calanque de sormiou","43.210133","5.420149","mer","true"
"mer-86","/images/portfolio/Mer/karim-saari-marseille-frioul-iles-sauvages-mediterranee.webp","Archipel du Frioul — Marseille","Archipel du Frioul vu de la mer — îles sauvages de Marseille en Méditerranée 2020","Marseille, archipel du frioul","","","mer","true"
"mer-87","/images/portfolio/Mer/karim-saari-marseille-vue-mer-vieux-port-notre-dame-panorama.webp","Marseille vue depuis la mer","Marseille vue depuis la mer — panorama du littoral méditerranéen, Vieux-Port et Notre-Dame de la Garde","Marseille, Cap croisette","","","mer","true"
"mer-89","/images/portfolio/Mer/photographe-sous-marin-marseille-plongee-apnee-calanques-dark-massilia.webp","Apnée dans les Calanques — Dark Massilia","Plongée en apnée dans les Calanques — exploration des fonds méditerranéens — © Karim Saari","Calanques de Marseille","","","mer","true"
"mer-90","/images/portfolio/Mer/photographe-sous-marin-marseille-faune-flore-marine-mediterranee.webp","Faune et flore marines — Calanques","Faune et flore sous-marines des Calanques de Marseille — © Karim Saari, photographe sous-marin Marseille","Calanques de Marseille","","","mer","true"
"mer-91","/images/portfolio/Mer/photographe-sous-marin-marseille-posidonie-roches-calcaires-calanques.webp","Posidonie des Calanques — Méditerranée","Posidonie et roches calcaires sous-marines — Calanques de Marseille — © Karim Saari","Calanques de Marseille","","","mer","true"
"mer-92","/images/portfolio/Mer/photographe-sous-marin-marseille-lumiere-filtree-eau-apnee.webp","Lumière filtrée sous l'eau — Calanques","Lumière filtrée sous l'eau dans les Calanques de Marseille — © Karim Saari","Calanques de Marseille","","","mer","true"
"mer-94","/images/portfolio/Mer/photographe-sous-marin-marseille-biodiversite-fonds-marins-calanques.webp","Biodiversité méditerranéenne — Calanques","Biodiversité des fonds marins méditerranéens — Calanques de Marseille — © Karim Saari","Calanques de Marseille","","","mer","true"
"mer-95","/images/portfolio/Mer/photographe-sous-marin-marseille-frioul-exploration-subaquatique.webp","Fonds du Frioul — Apnée Marseille","Fonds marins du Frioul — exploration en apnée — © Karim Saari","Calanques de Marseille","","","mer","true"
"mer-97","/images/portfolio/Mer/karim-saari-marseille-frioul-falaises-eau-turquoise.webp","Frioul turquoise — Marseille","Archipel du Frioul — Marseille — falaises calcaires et eau turquoise méditerranéenne","Calanques de Marseille","","","mer","true"
"mer-98","/images/portfolio/Mer/karim-saari-marseille-gabian-ilots-roches-calcaires.webp","Îlots des Gabian — Marseille","Îlots des Gabian près de Marseille — végétation méditerranéenne sur roches calcaires","Calanques de Marseille","","","mer","true"
"mer-99","/images/portfolio/Mer/karim-saari-marseille-paysage-calanque-sormiou-eau-turquoise.webp","Écrin de calcaire et eaux turquoise — Calanque de Sormiou","Panorama sur le petit port de Sormiou niché entre les falaises calcaires et la pinède méditerranéenne typique des paysages du littoral de Provence — Calanques de Marseille — © Karim Saari","Marseille, Calanques de Sormiou","43.210133","5.420149","mer","true"
